Event,Time,Cell,Notes
Duplicate,8.092125485540508,0cb210c0-e2f3-11ed-0c0f-75c97d4d341e,"Base.UUID[UUID(""05c5c1d0-e2f3-11ed-30b6-dd0b5b4e3b3c"")]"
Duplicate,8.092125485540508,0cb210c0-e2f3-11ed-3c7b-11e538a36352,"Base.UUID[UUID(""05c5c1d0-e2f3-11ed-30b6-dd0b5b4e3b3c"")]"
Duplicate,8.772803346210578,0dc77860-e2f3-11ed-0f39-875d45e90207,"Base.UUID[UUID(""0cb210c0-e2f3-11ed-0c0f-75c97d4d341e"")]"
Duplicate,8.772803346210578,0dc77860-e2f3-11ed-3aaa-e36831c25c08,"Base.UUID[UUID(""0cb210c0-e2f3-11ed-0c0f-75c97d4d341e"")]"
Duplicate,9.06805084898893,0dc79f70-e2f3-11ed-0d77-19f1bff29635,"Base.UUID[UUID(""0cb210c0-e2f3-11ed-3c7b-11e538a36352"")]"
Duplicate,9.06805084898893,0dc79f70-e2f3-11ed-2c4c-eb53485d10fa,"Base.UUID[UUID(""0cb210c0-e2f3-11ed-3c7b-11e538a36352"")]"
Death,12.383324780769328,0dc77860-e2f3-11ed-0f39-875d45e90207,UndefInitializer()
Duplicate,13.603694457545874,0eaf6760-e2f3-11ed-2f84-c156cc6eb3f3,"Base.UUID[UUID(""0dc77860-e2f3-11ed-3aaa-e36831c25c08"")]"
Duplicate,13.603694457545874,0eaf6760-e2f3-11ed-027f-1dff3f4e269a,"Base.UUID[UUID(""0dc77860-e2f3-11ed-3aaa-e36831c25c08"")]"
Death,16.404943100254528,0dc79f70-e2f3-11ed-0d77-19f1bff29635,UndefInitializer()
Duplicate,18.77756642912264,0eaf8e70-e2f3-11ed-39d9-a5984eef1140,"Base.UUID[UUID(""0dc79f70-e2f3-11ed-2c4c-eb53485d10fa"")]"
Duplicate,18.77756642912264,0eaf8e70-e2f3-11ed-2ff1-c3c3d1cebf39,"Base.UUID[UUID(""0dc79f70-e2f3-11ed-2c4c-eb53485d10fa"")]"
Duplicate,30.5067824826346,0eafb580-e2f3-11ed-0984-f1c89aa09113,"Base.UUID[UUID(""0eaf6760-e2f3-11ed-2f84-c156cc6eb3f3"")]"
Duplicate,30.5067824826346,0eafb580-e2f3-11ed-350a-c391455b6430,"Base.UUID[UUID(""0eaf6760-e2f3-11ed-2f84-c156cc6eb3f3"")]"
Duplicate,31.68296016812518,0eafb580-e2f3-11ed-33f9-3177f48e999f,"Base.UUID[UUID(""0eafb580-e2f3-11ed-0984-f1c89aa09113"")]"
Duplicate,31.68296016812518,0eafb580-e2f3-11ed-38e9-530db73559ea,"Base.UUID[UUID(""0eafb580-e2f3-11ed-0984-f1c89aa09113"")]"
Duplicate,34.132945041307146,0eafdc92-e2f3-11ed-3265-67c230e68b49,"Base.UUID[UUID(""0eafb580-e2f3-11ed-33f9-3177f48e999f"")]"
Duplicate,34.132945041307146,0eafdc92-e2f3-11ed-300e-73cc31b8a9c4,"Base.UUID[UUID(""0eafb580-e2f3-11ed-33f9-3177f48e999f"")]"
Death,42.03503337866173,0eafb580-e2f3-11ed-38e9-530db73559ea,UndefInitializer()
Duplicate,44.16549926532093,0eb003a0-e2f3-11ed-33de-eb7060625dda,"Base.UUID[UUID(""0eaf8e70-e2f3-11ed-2ff1-c3c3d1cebf39"")]"
Duplicate,44.16549926532093,0eb003a0-e2f3-11ed-3840-dbb8dd0e6474,"Base.UUID[UUID(""0eaf8e70-e2f3-11ed-2ff1-c3c3d1cebf39"")]"
Death,44.805408106821254,0eb003a0-e2f3-11ed-33de-eb7060625dda,UndefInitializer()
Death,47.56401574265994,0eb003a0-e2f3-11ed-3840-dbb8dd0e6474,UndefInitializer()
